lei;ementa;ano;inteiro_teor
"896 de 31.12.1851
Publicado na CLBR, 31.12.1851";Revoga os Arts. 33 do Regulamento Nº 361 de 15 de Junho de 1844, e 17 do de Nº 415 de 12 de Junho de 1845.;1851;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




DECRETO Nº 
896, DE 31 DE DEZEMBRO DE
1851


 



Revoga os Arts. 33 
	do Regulamento Nº 361 de 15 de Junho de 1844, e 17 do de Nº 415 de 12 de 
	Junho de 1845.




Hei por bem revogar os 
Arts. 33 do Regulamento Nº 361 de 15 de Junho de 1844, e 17 do de Nº 415 de 12 
de Junho de 1845, e Determinar que a arrecadação dos impostos de lançamento, que 
he feita pelas Recebedorias, Collectorias, Mesas de Rendas, e pelas Alfandegas 
que nesta parte reunem as attribuições das ditas Repartições, continue a fazer-se 
amigavelmente pelas referidas Estações, durante o prazo em que estiver aberto o 
exercicio respectivo, na fórma do Decreto Nº 41 de 20 de Fevereiro de 1850; 
salvo o caso em que, para acautelar os interesses da Fazenda Nacional, for 
necessario proceder-se á cobrança executiva delles; dentro do prazo acima 
referida. Joaquim José Rodrigues Torres, do Meu Conselho, Senador do Imperio, 
Ministro e Secretario de Estado dos Negocios da Fazenda, e Presidente do 
Tribunal do Thesouro Nacional, assim o tenha entendido, e faça executar. Palacio 
do Rio de Janeiro em trinta e hum de Dezembro de mil oitocentos cincoenta e hum, 
trigesimo da Independencia e do Imperio.

Com a Rubrica de Sua 
Magestade o Imperador.

Joaquim José Rodrigues 
Torres.


Este texto não substitui o original publicado 
na
CLBR, de 
31.12.1851



*


 

 

 

 

 

 

 

 
"
"750 de 2.1.1851
Publicado na CLBR, 31.12.1851";Approva e Manda que se execute nos Presidios Leopoldina e Santa Isabel o Regulamento para os Presidios Militares fundados á margem do Rio Araguaya na Provincia de Goyaz.;1851;"
"
